,3d_image,angle,bbox_max_x,bbox_max_y,bbox_max_z,bbox_min_x,bbox_min_y,bbox_min_z,bf_clip_hi,bf_clip_lo,cell_height,cell_stage,cell_surface_area,cell_volume,CellId,Cellular Component,center_slice,Description (from Uniprot),dna_clip_hi,dna_clip_lo,edge_flag,fits_x,fits_y,fits_z,FOVId,gene,InstrumentId,max_projection_x,max_projection_y,max_projection_z,mean_projection_x,mean_projection_y,mean_projection_z,median_projection_x,median_projection_y,median_projection_z,membrane_clip_hi,membrane_clip_lo,meta_colony_area,meta_colony_centroid,meta_colony_label,meta_fov_edgedist,meta_fov_outside_overview,meta_fov_position,meta_fov_xcoord,meta_fov_ycoord,meta_imaging_mode,meta_plate_bad_segmentation,meta_plate_confluency,meta_well_passage_at_imaging,meta_well_passage_at_thaw,nuclear_height,nuclear_surface_area,nuclear_volume,PiezoId,PlateId,Protein,ProtocolId,scale_micron,shape_mode_1_height,shape_mode_2_volume,shape_mode_3_major_tilt,shape_mode_4_minor_tilt,shape_mode_5_elongation,shape_mode_6_bean-ness,shape_mode_7_pear-ness,shape_mode_8_wedge,Structure,structure_clip_hi,structure_clip_lo,structure_connected_components,structure_volume,this_cell_index,this_cell_nbr_complete,this_cell_nbr_dist_2d,WellId,WorkflowId,split
176294,s3://allencell-hipsc-cytodata/register/692430.ome.zarr,-47.39236087568879,294,328,102,77,94,16,45555.0,33269.0,9.424971,M0,1475.055783802854,1853.261734298517,692430,nuclear periphery,s3://allencell-hipsc-cytodata/center_slice/692430.ome.tiff,"Component of the nuclear pore complex (NPC), a complex required for the trafficking across the nuclear envelope. Functions as a scaffolding element in the nuclear phase of the NPC essential for normal nucleocytoplasmic transport of proteins and mRNAs. Involved in the quality control and retention of unspliced mRNAs in the nucleus; in association with TPR, regulates the nuclear export of unspliced mRNA species bearing constitutive transport element (CTE) in a NXF1- and KHDRBS1-independent manner. Mediates TPR anchoring to the nuclear membrane at NPC. The repeat-containing domain may be involved in anchoring other components of the NPC to the pore membrane. Possible DNA-binding subunit of the nuclear pore complex (NPC).",429.0,402.0,0,True,True,True,140663,NUP153,ZSD-3,s3://allencell-hipsc-cytodata/max_projection_x/692430.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/692430.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/692430.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/692430.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/692430.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/692430.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/692430.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/692430.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/692430.ome.tiff,3649.0,1717.0,22597.0,"(954, 740)",39.0,168.62,False,center,780.0,963.0,Mode A,False,0.29,33.0,28.0,5.633316,513.639478015974,492.0026742653862,Triggered,3500002700,Nup153,Old,"[0.108333, 0.108333, 0.108333]",0.1133,0.4514,0.4477,-1.0114,-1.0769,-0.07,1.4179,-0.4784,nuclear pores,600,420,160.0,0.038384428890649865,24,0,"[(692407, 228.73310789077772), (692410, 207.39098348405037), (692421, 158.08332820850083)]",177954,['Pipeline 4.4'],train
36132,s3://allencell-hipsc-cytodata/register/983938.ome.zarr,33.53195064470146,339,268,66,92,151,13,47201.0,36203.97500000002,5.849982,M0,991.765702353834,936.360893652521,983938,cytoplasm,s3://allencell-hipsc-cytodata/center_slice/983938.ome.tiff,"Plays a fundamental role in microtubule organizing center structure and function. Required for centriole duplication and correct spindle formation. Has a role in regulating cytokinesis and genome stability via cooperation with CALM1 and CCP110.
Involved in global genome nucleotide excision repair (GG-NER) by acting as component of the XPC complex. Cooperatively with RAD23B appears to stabilize XPC. In vitro, stimulates DNA binding of the XPC:RAD23B dimer.
The XPC complex is proposed to represent the first factor bound at the sites of DNA damage and together with other core recognition factors, XPA, RPA and the TFIIH complex, is part of the pre-incision (or initial recognition) complex. The XPC complex recognizes a wide spectrum of damaged DNA characterized by distortions of the DNA helix such as single-stranded loops, mismatched bubbles or single-stranded overhangs. The orientation of XPC complex binding appears to be crucial for inducing a productive NER. XPC complex is proposed to recognize and to interact with unpaired bases on the undamaged DNA strand which is followed by recruitment of the TFIIH complex and subsequent scanning for lesions in the opposite strand in a 5'-to-3' direction by the NER machinery. Cyclobutane pyrimidine dimers (CPDs) which are formed upon UV-induced DNA damage esacpe detection by the XPC complex due to a low degree of structural perurbation. Instead they are detected by the UV-DDB complex which in turn recruits and cooperates with the XPC complex in the respective DNA repair.
As a component of the TREX-2 complex, involved in the export of mRNAs to the cytoplasm through the nuclear pores",425.0,397.0,0,True,True,True,9590,CETN2,ZSD-2,s3://allencell-hipsc-cytodata/max_projection_x/983938.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/983938.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/983938.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/983938.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/983938.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/983938.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/983938.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/983938.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/983938.ome.tiff,2494.0250000000233,808.0,16517.0,"(1042, 667)",19.0,144.22,False,center,660.0,1032.0,Mode B,False,0.18,25.0,22.0,4.116654,367.61968215903596,272.5564395187367,Interactive,3500001581,centrin-2,Old,"[0.108333, 0.108333, 0.108333]",-1.4149,-2.0012,-0.3741,-0.8266,0.6117,0.1063,1.5394,-0.41,centrioles,800,440,2.0,0.00039603238769515776,6,0,"[(983933, 196.78357777700876), (983946, 90.32540968277209), (983949, 107.4328517729112)]",83395,['Pipeline 4.2'],test
145929,s3://allencell-hipsc-cytodata/register/624718.ome.zarr,-47.356546638078974,387,346,70,105,158,11,13476.0,11250.0,6.49998,M0,1512.470275780986,1670.7178932872907,624718,nucleus,s3://allencell-hipsc-cytodata/center_slice/624718.ome.tiff,"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.",513.0,400.0,0,True,True,True,139508,HIST1H2BJ,ZSD-2,s3://allencell-hipsc-cytodata/max_projection_x/624718.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/624718.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/624718.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/624718.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/624718.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/624718.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/624718.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/624718.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/624718.ome.tiff,5396.0,1499.0,36466.0,"(1139, 881)",51.0,107.63,False,center,868.0,1216.0,Mode A,False,0.22,30.0,27.0,5.308317,569.244830272056,510.3794942154915,Triggered,3500002683,H2B,Old,"[0.108333, 0.108333, 0.108333]",-1.4656,0.3309,0.251,0.4192,-0.0423,0.0459,-0.1501,0.3048,histones,2885,450,118.0,0.16387011973462984,14,0,"[(624709, 199.50944724549794), (624710, 125.68835837178243), (624714, 270.3016660424732), (624720, 218.45619966230566), (624722, 146.5616979581896)]",176143,['Pipeline 4.4'],train
60019,s3://allencell-hipsc-cytodata/register/355843.ome.zarr,-65.08573263487678,341,275,116,71,134,13,24625.0,19327.0,11.266632,M0,1595.091989559546,1990.609837411145,355843,membrane,s3://allencell-hipsc-cytodata/center_slice/355843.ome.tiff,Major high molecular weight protein of desmosomes. Involved in the organization of the desmosomal cadherin-plakoglobin complexes into discrete plasma membrane domains and in the anchoring of intermediate filaments to the desmosomes.,432.0,398.0,0,True,True,True,4096,DSP,ZSD-3,s3://allencell-hipsc-cytodata/max_projection_x/355843.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/355843.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/355843.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/355843.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/355843.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/355843.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/355843.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/355843.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/355843.ome.tiff,1988.0,705.0,29560.0,"(1265, 663)",24.0,75.89,False,center,758.0,1267.0,Mode A,False,0.11,38.0,31.0,7.691643,607.3869566613059,628.5332669844955,Interactive,3500001080,desmoplakin,Old,"[0.108333, 0.108333, 0.108333]",1.055,-0.4208,0.4368,-1.275,2.3487,-0.4074,-0.0239,1.0238,desmosomes,620,410,,,4,0,"[(355842, 190.84413393911584), (355847, 185.76080381124464), (355854, 167.40303118390764), (355856, 91.6532609359993), (355868, 284.4762973403873)]",32033,['Pipeline 4'],valid
75935,s3://allencell-hipsc-cytodata/register/420082.ome.zarr,-57.79910920271856,324,284,120,58,121,12,45216.0,34729.0,11.808297,M0,1476.839661713982,1663.0335498682762,420082,cytoplasm,s3://allencell-hipsc-cytodata/center_slice/420082.ome.tiff,Transfers sialic acid from CMP-sialic acid to galactose-containing acceptor substrates.,438.0,401.0,0,True,True,True,5542,ST6GAL1,ZSD-2,s3://allencell-hipsc-cytodata/max_projection_x/420082.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/420082.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/420082.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/420082.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/420082.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/420082.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/420082.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/420082.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/420082.ome.tiff,1508.0,639.0,20103.0,"(178, 552)",3.0,111.43,False,center,541.0,210.0,Mode A,False,0.24,32.0,30.0,8.883306,546.289138205172,569.9890973260966,Interactive,3500001232,sialyltransferase 1,Old,"[0.108333, 0.108333, 0.108333]",1.4739,-0.6366,1.1503,0.2937,-0.1707,-0.4696,0.7781,0.3356,Golgi,490,400,6.0,0.0388418867099059,5,0,"[(420083, 118.80577556181542), (420086, 142.4078706110994)]",48437,['Pipeline 4.1'],valid
19176,s3://allencell-hipsc-cytodata/register/348699.ome.zarr,-83.56175481284313,298,180,109,30,59,12,29404.0,21601.0,10.616634,M0,1228.739799600522,1425.455875429607,348699,cytoplasm,s3://allencell-hipsc-cytodata/center_slice/348699.ome.tiff,Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore (By similarity). Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases,442.0,401.0,0,True,True,True,3870,TOMM20,ZSD-3,s3://allencell-hipsc-cytodata/max_projection_x/348699.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/348699.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/348699.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/348699.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/348699.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/348699.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/348699.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/348699.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/348699.ome.tiff,2527.0,928.0,47191.0,"(962, 595)",28.0,50.12,False,center,611.0,844.0,Mode B,False,0.39,42.0,35.0,7.908309,449.279040748698,437.85246404711205,Interactive,3500001016,Tom20,Old,"[0.108333, 0.108333, 0.108333]",0.6681,-0.9979,-1.8331,0.4426,-0.1731,-0.1982,0.6812,0.8973,mitochondria,815,410,46.0,0.11627187610984775,19,0,"[(348697, 97.82565908880754), (348707, 218.21005262396568), (348710, 96.43628312351886)]",29335,['Pipeline 4'],train
187765,s3://allencell-hipsc-cytodata/register/891650.ome.zarr,-2.6609912380534255,308,194,111,52,63,12,33020.0,24476.0,10.8333,M0,1209.117142578114,1307.2512466485646,891650,nuclear periphery,s3://allencell-hipsc-cytodata/center_slice/891650.ome.tiff,"Component of the nuclear pore complex (NPC), a complex required for the trafficking across the nuclear envelope. Functions as a scaffolding element in the nuclear phase of the NPC essential for normal nucleocytoplasmic transport of proteins and mRNAs. Involved in the quality control and retention of unspliced mRNAs in the nucleus; in association with TPR, regulates the nuclear export of unspliced mRNA species bearing constitutive transport element (CTE) in a NXF1- and KHDRBS1-independent manner. Mediates TPR anchoring to the nuclear membrane at NPC. The repeat-containing domain may be involved in anchoring other components of the NPC to the pore membrane. Possible DNA-binding subunit of the nuclear pore complex (NPC).",467.0,397.0,0,True,True,True,151215,NUP153,ZSD-1,s3://allencell-hipsc-cytodata/max_projection_x/891650.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/891650.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/891650.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/891650.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/891650.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/891650.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/891650.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/891650.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/891650.ome.tiff,5858.400000000023,1171.0,,"(-1, -1)",0.0,0.0,False,center,626.0,980.0,Mode A,True,0.0,32.0,28.0,7.366644,402.287941037142,374.9397629546076,Triggered,3500002942,Nup153,Old,"[0.108333, 0.108333, 0.108333]",0.9205,-1.73,-0.5787,-1.2699,0.3183,-1.27,0.3358,0.1708,nuclear pores,600,420,94.0,0.0535597434036382,2,0,"[(891651, 141.4744423785716), (891658, 240.050819639033), (891659, 100.47747385832055), (891694, 134.24732173191032)]",195408,['Pipeline 4.4'],train
81751,s3://allencell-hipsc-cytodata/register/803070.ome.zarr,56.424071111971195,272,246,126,78,82,16,29901.0,20582.0,12.024963,M0,1267.163590923108,1405.8890247978013,803070,cytoplasm,s3://allencell-hipsc-cytodata/center_slice/803070.ome.tiff,Transfers sialic acid from CMP-sialic acid to galactose-containing acceptor substrates.,466.0,405.0,0,True,True,True,16540,ST6GAL1,ZSD-3,s3://allencell-hipsc-cytodata/max_projection_x/803070.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/803070.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/803070.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/803070.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/803070.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/803070.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/803070.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/803070.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/803070.ome.tiff,9425.0,2690.0,,"(-1, -1)",0.0,0.0,False,edge,514.0,299.0,Mode C,False,0.46,38.0,30.0,7.366644,430.00846489296,380.2974438228616,Interactive,3500001289,sialyltransferase 1,Old,"[0.108333, 0.108333, 0.108333]",1.0566,-1.35,0.7888,-1.3879,-0.5665,1.3034,0.4153,0.1753,Golgi,490,400,6.0,0.01766466094992932,21,0,"[(803052, 136.73785834519006), (803058, 182.3112450539218), (803064, 111.23522612279847), (803066, 94.43518909651262), (803071, 185.00162159916007), (803072, 79.56131007292684)]",50356,['Pipeline 4.1'],train
10502,s3://allencell-hipsc-cytodata/register/322753.ome.zarr,18.7705119371073,292,244,81,76,86,14,43776.0,35544.075000000026,7.366644,M0,1044.85954228767,1243.9634824672762,322753,cytoplasm,s3://allencell-hipsc-cytodata/center_slice/322753.ome.tiff,Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore (By similarity). Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases,431.0,401.0,0,True,True,True,3061,TOMM20,ZSD-2,s3://allencell-hipsc-cytodata/max_projection_x/322753.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/322753.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/322753.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/322753.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/322753.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/322753.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/322753.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/322753.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/322753.ome.tiff,2413.0,840.0,9017.0,"(934, 293)",15.0,154.35,False,center,291.0,930.0,Mode A,False,0.14,38.0,35.0,5.308317,454.53678617096995,410.6559402092331,Interactive,3500000974,Tom20,Old,"[0.108333, 0.108333, 0.108333]",-0.4398,-0.5967,-0.0433,0.2183,-0.8416,0.6651,1.1949,-0.6409,mitochondria,815,410,27.0,0.15537401267452475,21,0,"[(322750, 180.52670285505744), (322752, 151.6164176866866), (322759, 141.9233036140575), (322760, 199.43091946249956)]",22720,['Pipeline 4'],valid
29852,s3://allencell-hipsc-cytodata/register/424643.ome.zarr,32.638991372387814,343,305,125,101,146,26,41451.0,31428.0,10.8333,M0,1627.812065982078,1699.9308580024954,424643,cytoplasm,s3://allencell-hipsc-cytodata/center_slice/424643.ome.tiff,"Plays a fundamental role in microtubule organizing center structure and function. Required for centriole duplication and correct spindle formation. Has a role in regulating cytokinesis and genome stability via cooperation with CALM1 and CCP110.
Involved in global genome nucleotide excision repair (GG-NER) by acting as component of the XPC complex. Cooperatively with RAD23B appears to stabilize XPC. In vitro, stimulates DNA binding of the XPC:RAD23B dimer.
The XPC complex is proposed to represent the first factor bound at the sites of DNA damage and together with other core recognition factors, XPA, RPA and the TFIIH complex, is part of the pre-incision (or initial recognition) complex. The XPC complex recognizes a wide spectrum of damaged DNA characterized by distortions of the DNA helix such as single-stranded loops, mismatched bubbles or single-stranded overhangs. The orientation of XPC complex binding appears to be crucial for inducing a productive NER. XPC complex is proposed to recognize and to interact with unpaired bases on the undamaged DNA strand which is followed by recruitment of the TFIIH complex and subsequent scanning for lesions in the opposite strand in a 5'-to-3' direction by the NER machinery. Cyclobutane pyrimidine dimers (CPDs) which are formed upon UV-induced DNA damage esacpe detection by the XPC complex due to a low degree of structural perurbation. Instead they are detected by the UV-DDB complex which in turn recruits and cooperates with the XPC complex in the respective DNA repair.
As a component of the TREX-2 complex, involved in the export of mRNAs to the cytoplasm through the nuclear pores",434.0,401.0,0,True,True,True,9723,CETN2,ZSD-2,s3://allencell-hipsc-cytodata/max_projection_x/424643.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_y/424643.ome.tiff,s3://allencell-hipsc-cytodata/max_projection_z/424643.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_x/424643.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_y/424643.ome.tiff,s3://allencell-hipsc-cytodata/mean_projection_z/424643.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_x/424643.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_y/424643.ome.tiff,s3://allencell-hipsc-cytodata/median_projection_z/424643.ome.tiff,5061.0,1138.0,20283.0,"(950, 1274)",31.0,150.94,False,center,1278.0,935.0,Mode B,False,0.26,25.0,22.0,7.908309,544.2470674384859,498.2884773533425,Interactive,3500001582,centrin-2,Old,"[0.108333, 0.108333, 0.108333]",0.313,-0.8283,-0.0506,1.1553,1.1163,-2.5741,-0.0253,2.2689,centrioles,800,440,2.0,0.00047362240650890297,4,0,"[(424642, 187.79724616306967), (424645, 228.61363087409012), (424649, 169.68359097374412), (424650, 116.38417553549856), (424653, 226.2799039538917), (424657, 80.99433473372528)]",78389,['Pipeline 4.2'],train
